Disruption URL,CLDR Territory Code,Region,Product,Start Date (Pacific Time; may be approximated),End Date (Pacific Time; may be approximated),Source,Source URL,Title,Excerpt
https://transparencyreport.google.com/traffic/overview?disruption_history=region:UZ;product:19;start:1313038824818;end:1313082057035&fraction_traffic=region:UZ;product:19;start:1313038824818;end:1313082057035,UZ,Uzbekistan,Web Search,2011-08-11,2011-08-11,RadioFreeEurope/RadioLiberty,http://www.rferl.org/content/dozens_of_websites_in_uzbekistan_experience_access_problems/24295316.html,Dozens Of Websites In Uzbekistan Suffer Access Problems,Dozens of popular websites in Uzbekistan have suffered from intermittent bouts of inaccessibility over the past week... 
https://transparencyreport.google.com/traffic/overview?disruption_history=region:SY;product:19;start:1306904422841;end:1307336403156&fraction_traffic=region:SY;product:19;start:1306904422841;end:1307336403156,SY,Syria,Web Search,2011-06-03,2011-06-04,NBCnews.com,http://www.nbcnews.com/technology/technolog/syrian-government-unplugs-internet-much-country-123075,Syrian government unplugs Internet for much of country,Syria's government appears to have shut down much of the Internet as protests and violence escalate there against President Bashar Assad...
https://transparencyreport.google.com/traffic/overview?disruption_history=region:GE;product:19;start:1301209240544;end:1301468425848&fraction_traffic=region:GE;product:19;start:1301209240544;end:1301468425848,GE,Georgia,Web Search,2011-03-28,2011-03-28,Guardian,http://www.guardian.co.uk/world/2011/apr/06/georgian-woman-cuts-web-access,Georgian woman cuts off web access to whole of Armenia,An elderly Georgian woman was scavenging for copper to sell as scrap when she accidentally sliced through an underground cable...
https://transparencyreport.google.com/traffic/overview?disruption_history=region:AM;product:19;start:1301209231686;end:1301468437661&fraction_traffic=region:AM;product:19;start:1301209231686;end:1301468437661,AM,Armenia,Web Search,2011-03-28,2011-03-28,Guardian,http://www.guardian.co.uk/world/2011/apr/06/georgian-woman-cuts-web-access,Georgian woman cuts off web access to whole of Armenia,An elderly Georgian woman was scavenging for copper to sell as scrap when she accidentally sliced through an underground cable...
https://transparencyreport.google.com/traffic/overview?disruption_history=region:LY;product:19;start:1295596824860;end:1317279620268&fraction_traffic=region:LY;product:19;start:1295596824860;end:1317279620268,LY,Libya,Web Search,2011-03-03,2011-08-21,Rensys,http://www.renesys.com/blog/2011/02/libyan-disconnect-1.shtml,Libyan Disconnect,"Renesys confirms that the 13 globally routed Libyan network prefixes were withdrawn at 23:18 GMT (Friday night, 1:18am Saturday local time…"
https://transparencyreport.google.com/traffic/overview?disruption_history=region:TR;product:2;start:1298275244323;end:1301900422329&fraction_traffic=region:TR;product:2;start:1298275244323;end:1301900422329,TR,Türkiye,Blogger,2011-03-01,2011-04-22,World Bulletin,http://www.worldbulletin.net/?aType=haber&ArticleID=70494,Turkish court blocks Google's blogging site,"Google's famous blog hosting service, blogspot.com/blogger.com, has been banned following complaints by digital satellite platform Digiturk…"
https://transparencyreport.google.com/traffic/overview?disruption_history=region:LY;product:19;start:1297929631688;end:1298275237808&fraction_traffic=region:LY;product:19;start:1297929631688;end:1298275237808,LY,Libya,Web Search,2011-02-18,2011-07-10,Los Angeles Times,http://latimesblogs.latimes.com/technology/2011/02/libya-has-shut-down-the-internet-in-light-of-protests-reports-say.html,Libya's Internet reportedly down as violence against anti-government protesters continues,"The Internet has been shut down in Libya, according to multiple reports."
https://transparencyreport.google.com/traffic/overview?disruption_history=region:LY;product:21;start:1293868852847;end:1317366035345&fraction_traffic=region:LY;product:21;start:1293868852847;end:1317366035345,LY,Libya,YouTube,2011-02-17,2011-07-10,BBC,http://www.bbc.co.uk/news/world-middle-east-12512202,Libya media crackdown amid anti-government protests,"Col Muammar Gaddafi's government in Libya has taken a series of measures, including blocking internet sites and shutting off electricity..."
https://transparencyreport.google.com/traffic/overview?disruption_history=region:IR;product:18;start:1275375651032;end:1356940800262&fraction_traffic=region:IR;product:18;start:1275375651032;end:1356940800262,IR,Iran,Google Videos,2011-01-30,2012-08-20,Reuters,http://www.reuters.com/article/2011/01/31/iran-internet-censor-idUSLDE70U0Q920110131,More news websites blocked in Iran,Iranians have found their access to major news websites even more restricted than usual as more foreign sites were blocked by a government f…
https://transparencyreport.google.com/traffic/overview?disruption_history=region:EG;product:19;start:1295856013583;end:1296892826447&fraction_traffic=region:EG;product:19;start:1295856013583;end:1296892826447,EG,Egypt,Web Search,2011-01-27,2011-02-02,New York Times,http://www.nytimes.com/2011/01/29/technology/internet/29cutoff.html,Egypt Cuts Off Most Internet and Cell Service,"[The] Internet has never faced anything like what happened in Egypt on Friday, when the government of a country with 80 million people and a…"
https://transparencyreport.google.com/traffic/overview?disruption_history=region:SD;product:21;start:1295683208269;end:1296806427222&fraction_traffic=region:SD;product:21;start:1295683208269;end:1296806427222,SD,Sudan,YouTube,2011-01-27,2011-01-28,,,,YouTube was partially accessible for 3 days
https://transparencyreport.google.com/traffic/overview?disruption_history=region:TR;product:21;start:1210575618068;end:1308207624122&fraction_traffic=region:TR;product:21;start:1210575618068;end:1308207624122,TR,Türkiye,YouTube,2010-05-31,2010-10-30,Open Net Initiative ,https://opennet.net/blog/2010/06/turkey-blocks-youtube-inadvertently-blocks-google-services,"Turkey Blocks YouTube, Inadvertently Blocks Google Services",Turkish internet users have been tweeting that that they have been unable to access some Google Services over the past few days...
https://transparencyreport.google.com/traffic/overview?disruption_history=region:TR;product:16;start:1273899620399;end:1277442028600&fraction_traffic=region:TR;product:16;start:1273899620399;end:1277442028600,TR,Türkiye,Google Translate,2010-05-31,2010-06-08,The Register,http://www.theregister.co.uk/2010/06/08/turkey_bans_google_services/,"Turkey bans Google Books, Google Docs, Google Translate...","Turkey has banned multiple Google services, according to reports, including Google Translate, Google Docs, and Google Books. "
https://transparencyreport.google.com/traffic/overview?disruption_history=region:TR;product:3;start:1273899606417;end:1277528414682&fraction_traffic=region:TR;product:3;start:1273899606417;end:1277528414682,TR,Türkiye,Google Books,2010-05-31,2010-06-08,The Register,http://www.theregister.co.uk/2010/06/08/turkey_bans_google_services/,"Turkey bans Google Books, Google Docs, Google Translate...","Turkey has banned multiple Google services, according to reports, including Google Translate, Google Docs, and Google Books. "
